category,SLC,fold_change,expression,p_value,control_mean,control_distribution,treat_mean,treat_distribution,method,cutoff,OS_error,OS_p_value,OS_HR,OS_AUC,OS_sensitivity,OS_specificity,OS_graph_name_jpg,DSS_error,DSS_p_value,DSS_HR,DSS_AUC,DSS_sensitivity,DSS_specificity,DSS_graph_name_jpg,DFI_error,DFI_p_value,DFI_HR,DFI_AUC,DFI_sensitivity,DFI_specificity,DFI_graph_name_jpg,PFI_error,PFI_p_value,PFI_HR,PFI_AUC,PFI_sensitivity,PFI_specificity,PFI_graph_name_jpg
Esophagus,SLC29A4,1.21026332825332,Increased,6.8288863825924e-19,6.88106584992343,1.96057109344855,8.32790165745856,3.5039620457194602,outcome_significance,11.5163,False,0.00293716424008005,2.9264735600166696,0.51,10.5,98.1,"TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff11.52_histogram.jpg, TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff11.52_AUC=_0.51_ROC.jpg, TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff=11.52_p=0.00293716424008005_HR=2.92647356001667_kaplanmeier.jpg",False,0.00446580695411855,2.64777861101736,0.53,20.0,93.0,"TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff10.78_histogram.jpg, TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff10.78_AUC=_0.53_ROC.jpg, TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff=10.78_p=0.00446580695411855_HR=2.64777861101736_kaplanmeier.jpg",False,0.00374719659339324,3.2869258021377004,0.6,40.9,85.9,"TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff9.848_histogram.jpg, TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff9.848_AUC=_0.6_ROC.jpg, TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff=9.848_p=0.00374719659339324_HR=3.2869258021377_kaplanmeier.jpg",False,0.00156940467208834,2.11421367485669,0.53,28.2,84.4,"TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff9.894_histogram.jpg, TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff9.894_AUC=_0.53_ROC.jpg, TCGA_Esophagus_survival/CF_SLC29A4_biomarker_outcome_significance_cutoff=9.894_p=0.00156940467208834_HR=2.11421367485669_kaplanmeier.jpg"
Prostate,SLC12A5,1.26310028556249,Increased,1.05813054208749e-13,3.5161300000000004,0.958357884949495,4.44122480707485,1.8052364567241002,outcome_significance,5.43505,False,0.0017490279792138801,6.60061264024485,0.77,70.0,77.7,"TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff5.435_histogram.jpg, TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff5.435_AUC=_0.77_ROC.jpg, TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff=5.435_p=0.00174902797921388_HR=6.60061264024485_kaplanmeier.jpg",False,0.00306226598425026,1221734950.63872,0.82,100.0,62.9,"TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff4.763_histogram.jpg, TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff4.763_AUC=_0.82_ROC.jpg, TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff=4.763_p=0.00306226598425026_HR=1221734950.63872_kaplanmeier.jpg",False,0.0007128285483185008,3.25393915205033,0.63,43.3,82.1,"TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff5.47_histogram.jpg, TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff5.47_AUC=_0.63_ROC.jpg, TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff=5.47_p=0.000712828548318501_HR=3.25393915205033_kaplanmeier.jpg",False,0.00529069763860474,9.762334572530447,0.57,98.9,11.7,"TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff2.803_histogram.jpg, TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff2.803_AUC=_0.57_ROC.jpg, TCGA_Prostate_survival/CF_SLC12A5_biomarker_outcome_significance_cutoff=2.803_p=0.00529069763860474_HR=9.76233457253045_kaplanmeier.jpg"
Prostate,SLC17A4,2.43996541776788,Increased,3.70490841242734e-14,0.82001,1.07610041525253,2.00079604222384,5.72734269199552,outcome_significance,4.2726,False,6.174218966133299e-05,10.2400247493389,0.7,70.0,85.2,"TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff4.273_histogram.jpg, TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff4.273_AUC=_0.7_ROC.jpg, TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff=4.273_p=6.1742189661333e-05_HR=10.2400247493389_kaplanmeier.jpg",False,0.0006332066393798009,18.050893677813498,0.77,80.0,85.0,"TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff4.273_histogram.jpg, TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff4.273_AUC=_0.77_ROC.jpg, TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff=4.273_p=0.000633206639379801_HR=18.0508936778135_kaplanmeier.jpg",False,0.0001574577303125,3.64305290878029,0.62,46.7,81.4,"TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff3.327_histogram.jpg, TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff3.327_AUC=_0.62_ROC.jpg, TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff=3.327_p=0.0001574577303125_HR=3.64305290878029_kaplanmeier.jpg",False,0.000902860167101441,1.97640227994201,0.58,47.8,70.0,"TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff2.22_histogram.jpg, TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff2.22_AUC=_0.58_ROC.jpg, TCGA_Prostate_survival/CF_SLC17A4_biomarker_outcome_significance_cutoff=2.22_p=0.000902860167101441_HR=1.97640227994201_kaplanmeier.jpg"
Prostate,SLC19A2,1.02761440097016,Increased,0.000352731920635702,9.761832,0.4528860308848479,10.031399143051301,0.439615469387476,outcome_significance,11.05525,False,0.00201297821492144,6.792854377064612,0.58,30.0,94.8,"TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff11.06_histogram.jpg, TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff11.06_AUC=_0.58_ROC.jpg, TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff=11.06_p=0.00201297821492144_HR=6.79285437706461_kaplanmeier.jpg",False,0.0040436188341556,9.133444126103699,0.67,40.0,94.9,"TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff11.06_histogram.jpg, TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff11.06_AUC=_0.67_ROC.jpg, TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff=11.06_p=0.0040436188341556_HR=9.1334441261037_kaplanmeier.jpg",False,0.000293975718789679,3.47820532289895,0.63,46.7,79.2,"TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff10.43_histogram.jpg, TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff10.43_AUC=_0.63_ROC.jpg, TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff=10.43_p=0.000293975718789679_HR=3.47820532289895_kaplanmeier.jpg",False,2.4861791101204e-06,3.7385816385525095,0.57,14.1,96.0,"TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff11.03_histogram.jpg, TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff11.03_AUC=_0.57_ROC.jpg, TCGA_Prostate_survival/CF_SLC19A2_biomarker_outcome_significance_cutoff=11.03_p=2.4861791101204e-06_HR=3.73858163855251_kaplanmeier.jpg"
Brain,SLC10A4,1.09278485203473,Increased,5.74537382218803e-10,5.70258264680105,2.9916848307512303,6.23169593390033,3.0210864044886403,outcome_significance,8.1135,False,2.7753278900767493e-17,3.26694245467556,0.62,26.4,92.6,"TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff8.114_histogram.jpg, TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff8.114_AUC=_0.62_ROC.jpg, TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff=8.114_p=2.77532789007675e-17_HR=3.26694245467556_kaplanmeier.jpg",False,1.8015014698826895e-17,3.471470744178589,0.62,27.4,92.0,"TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff8.043_histogram.jpg, TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff8.043_AUC=_0.62_ROC.jpg, TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff=8.043_p=1.80150146988269e-17_HR=3.47147074417859_kaplanmeier.jpg",False,0.00370452308136548,4.44853561640951,0.52,19.0,93.9,"TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff7.76_histogram.jpg, TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff7.76_AUC=_0.52_ROC.jpg, TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff=7.76_p=0.00370452308136548_HR=4.44853561640951_kaplanmeier.jpg",False,1.1364346862872097e-17,3.08432997804823,0.59,22.7,93.2,"TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff8.127_histogram.jpg, TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff8.127_AUC=_0.59_ROC.jpg, TCGA_Brain_survival/CF_SLC10A4_biomarker_outcome_significance_cutoff=8.127_p=1.13643468628721e-17_HR=3.08432997804823_kaplanmeier.jpg"
Brain,SLC12A9,1.04736185250468,Increased,1.2467924425716399e-45,10.529141454864199,0.8792060601133199,11.0278210994503,0.263611482017782,outcome_significance,11.50305,False,1.9734654092933802e-05,1.90625011554295,0.55,23.6,85.6,"TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff11.5_histogram.jpg, TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff11.5_AUC=_0.55_ROC.jpg, TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff=11.5_p=1.97346540929338e-05_HR=1.90625011554295_kaplanmeier.jpg",False,0.000853888558992478,1.5827354821788702,0.55,42.8,68.2,"TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff11.22_histogram.jpg, TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff11.22_AUC=_0.55_ROC.jpg, TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff=11.22_p=0.000853888558992478_HR=1.58273548217887_kaplanmeier.jpg",False,0.000422046534786386,4.20827468828317,0.64,52.4,78.1,"TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff11.31_histogram.jpg, TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff11.31_AUC=_0.64_ROC.jpg, TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff=11.31_p=0.000422046534786386_HR=4.20827468828317_kaplanmeier.jpg",False,1.91307125712413e-06,1.73987041270775,0.58,40.3,73.6,"TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff11.27_histogram.jpg, TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff11.27_AUC=_0.58_ROC.jpg, TCGA_Brain_survival/CF_SLC12A9_biomarker_outcome_significance_cutoff=11.27_p=1.91307125712413e-06_HR=1.73987041270775_kaplanmeier.jpg"
Brain,SLC16A4,1.1982867920478202,Increased,7.930529993419444e-122,7.22353032427695,0.6926738620620879,8.65586097953801,1.46113088858911,outcome_significance,8.89125,False,1.34847012234166e-23,3.5527608383858102,0.72,64.5,72.2,"TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff8.891_histogram.jpg, TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff8.891_AUC=_0.72_ROC.jpg, TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff=8.891_p=1.34847012234166e-23_HR=3.55276083838581_kaplanmeier.jpg",False,8.177450972101949e-33,4.70355664052279,0.73,53.5,82.3,"TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff9.347_histogram.jpg, TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff9.347_AUC=_0.73_ROC.jpg, TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff=9.347_p=8.17745097210195e-33_HR=4.70355664052279_kaplanmeier.jpg",False,0.0074210668824827705,3.26756787534337,0.6,33.3,87.7,"TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff9.316_histogram.jpg, TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff9.316_AUC=_0.6_ROC.jpg, TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff=9.316_p=0.00742106688248277_HR=3.26756787534337_kaplanmeier.jpg",False,9.010930775425247e-29,3.3770123927975,0.69,48.7,82.4,"TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff9.244_histogram.jpg, TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff9.244_AUC=_0.69_ROC.jpg, TCGA_Brain_survival/CF_SLC16A4_biomarker_outcome_significance_cutoff=9.244_p=9.01093077542525e-29_HR=3.3770123927975_kaplanmeier.jpg"
Brain,SLC25A13,1.12234734406884,Increased,7.093379726963143e-151,8.69041647677476,1.01242033306161,9.75366585156027,0.310693597608354,distribution,10.15016865,False,3.4109159688432388e-25,3.69450605234328,0.7,40.1,87.1,"TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff10.15_histogram.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff10.15_AUC=_0.7_ROC.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff=10.15_p=3.41091596884324e-25_HR=3.69450605234328_kaplanmeier.jpg",False,1.7781110646555197e-22,3.67979157782726,0.71,39.5,87.0,"TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff10.15_histogram.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff10.15_AUC=_0.71_ROC.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff=10.15_p=1.77811106465552e-22_HR=3.67979157782726_kaplanmeier.jpg",False,0.0027363912673210003,4.16507680972856,0.72,23.8,92.1,"TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff10.15_histogram.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff10.15_AUC=_0.72_ROC.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff=10.15_p=0.002736391267321_HR=4.16507680972856_kaplanmeier.jpg",False,2.4548847297451e-24,3.2617528089119703,0.68,35.4,88.1,"TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff10.15_histogram.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff10.15_AUC=_0.68_ROC.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_distribution_cutoff=10.15_p=2.4548847297451e-24_HR=3.26175280891197_kaplanmeier.jpg"
Brain,SLC25A13,1.12234734406884,Increased,7.093379726963143e-151,8.69041647677476,1.01242033306161,9.75366585156027,0.310693597608354,outcome_significance,9.7712,False,1.69307125389647e-21,3.4710759845928902,0.7,68.2,67.2,"TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff9.771_histogram.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff9.771_AUC=_0.7_ROC.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff=9.771_p=1.69307125389647e-21_HR=3.47107598459289_kaplanmeier.jpg",False,4.2020519788245595e-21,3.7209933498177694,0.71,69.8,67.5,"TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff9.771_histogram.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff9.771_AUC=_0.71_ROC.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff=9.771_p=4.20205197882456e-21_HR=3.72099334981777_kaplanmeier.jpg",False,0.0033830433153855697,10.9328582518803,0.72,95.2,41.2,"TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff9.393_histogram.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff9.393_AUC=_0.72_ROC.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff=9.393_p=0.00338304331538557_HR=10.9328582518803_kaplanmeier.jpg",False,6.91257703337243e-22,3.131487741344149,0.68,69.2,60.8,"TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff9.699_histogram.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff9.699_AUC=_0.68_ROC.jpg, TCGA_Brain_survival/CF_SLC25A13_biomarker_outcome_significance_cutoff=9.699_p=6.91257703337243e-22_HR=3.13148774134415_kaplanmeier.jpg"
Brain,SLC25A35,1.04483734095968,Increased,8.86110605230895e-22,7.420693514461,0.7158360146245679,7.7534176797262075,0.3604307622045539,distribution,8.25156835,False,7.84379113351575e-07,2.04837893419376,0.55,26.0,85.9,"TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff8.252_histogram.jpg, TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff8.252_AUC=_0.55_ROC.jpg, TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff=8.252_p=7.84379113351575e-07_HR=2.04837893419376_kaplanmeier.jpg",False,1.4236714503496099e-06,2.08196292241888,0.56,27.0,85.6,"TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff8.252_histogram.jpg, TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff8.252_AUC=_0.56_ROC.jpg, TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff=8.252_p=1.42367145034961e-06_HR=2.08196292241888_kaplanmeier.jpg",False,3.98741952365852e-05,5.6052608178475785,0.67,33.3,89.5,"TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff8.252_histogram.jpg, TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff8.252_AUC=_0.67_ROC.jpg, TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff=8.252_p=3.98741952365852e-05_HR=5.60526081784758_kaplanmeier.jpg",False,2.11507079068319e-07,1.9912426550022095,0.54,24.4,86.6,"TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff8.252_histogram.jpg, TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff8.252_AUC=_0.54_ROC.jpg, TCGA_Brain_survival/CF_SLC25A35_biomarker_distribution_cutoff=8.252_p=2.11507079068319e-07_HR=1.99124265500221_kaplanmeier.jpg"
